# SOURCE: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Date (YYYY=year MM=month DD=day);
# FXX      = Strongest wind gust (in 0.1 m/s);
# TG       = Average temperature (in 0.1 degrees Celsius);
# TN       = Minimum temperature (in 0.1 degrees Celsius);
# TNH      = Hour in which TN is measured;
# TX       = Maximum temperature (in 0.1 degrees Celsius);
# TXH      = Hour in which TX is measured;
# SQ       = Duration of Sunshine (in 0.1 hours);
# DR       = Duration of precipitation (in 0.1 hours);
#
# STN,YYYYMMDD,  FXX,   TG,   TN,  TNH,   TX,  TXH,   SQ,   DR
#
  260,20181012,  110,  187,  147,    6,  228,   15,   90,    5
  260,20181013,   90,  200,  154,    5,  263,   14,   95,    0
  260,20181014,  130,  174,  126,   21,  242,   14,   81,    0
  260,20181015,   90,  161,  107,    5,  229,   14,   61,    0
  260,20181016,   40,  153,   88,    5,  243,   13,   74,    0
  260,20181017,   60,  132,   82,    7,  202,   13,   54,    0
  260,20181018,   90,  122,   73,   24,  163,   12,   75,    0
  260,20181019,   70,   92,   27,   24,  158,   14,   87,    0
  260,20181020,   40,   86,   15,    5,  156,   13,   38,    0
  260,20181021,   60,  122,   61,    1,  165,   14,   34,    0
  260,20181022,   90,  108,   31,   22,  150,   11,   67,    2
  260,20181023,  120,  128,   79,    1,  147,   20,    1,    0
  260,20181024,  110,  140,  122,   18,  163,   13,   30,   10
  260,20181025,   80,  121,  109,   23,  136,   14,    1,    5
  260,20181026,  110,   95,   60,   21,  118,   12,    0,   36
  260,20181027,   80,   71,   36,   18,  113,   12,   71,   19
  260,20181028,  120,   40,    7,    7,   78,   14,   85,    0
  260,20181029,  120,   44,   20,    3,   61,   15,    0,    0
  260,20181030,  130,   57,   37,   18,   94,   22,    0,  118
  260,20181031,  120,   85,   46,    8,  114,   14,   63,   12
  260,20181101,   90,  104,   85,    7,  132,   12,    9,   64
  260,20181102,   80,   78,   23,   22,  118,   13,   71,   28
  260,20181103,   60,   43,   -1,    4,  101,   13,   65,    0
  260,20181104,   60,   59,    6,    7,  119,   15,   71,    0
  260,20181105,   80,   77,   51,   21,  112,   12,   24,    0
  260,20181106,   90,  124,   68,    2,  190,   14,   59,    0
  260,20181107,  110,  111,   87,    6,  139,   12,   19,   15
  260,20181108,   90,   92,   40,   22,  137,   14,   78,    0
  260,20181109,   70,   90,   58,    1,  112,   16,   30,    0
  260,20181110,  120,  116,   93,   24,  134,   11,    1,   55
  260,20181111,  110,  114,   82,   24,  134,   14,    4,   38
  260,20181112,   70,  100,   85,    1,  117,   13,    2,   74
  260,20181113,  130,  102,   81,   24,  132,   14,   65,    4
  260,20181114,   70,   80,   38,   22,  132,   15,   77,    0
  260,20181115,   60,   69,   31,   24,  128,   14,   72,    0
  260,20181116,   60,   34,    6,    5,   77,   14,   20,    0
  260,20181117,  100,   41,   10,    6,   91,   14,   75,    0
